City,State,Country,Property Type Cleaned,Sub-Area Cleaned,Company Name Cleaned,TownShip Cleaned,Description Cleaned,ClubHouse Cleaned,School Cleaned,Hospital Cleaned,Mall Cleaned,Park Cleaned,Pool Cleaned,Gym Cleaned,Area Cleaned,Price Cleaned,Description Processed,Noun_Counts,Verb_Counts,Adjective_Counts,Price by sub-area,Amenities score,Price by Amenities score
pune,maharashtra,india,1.0,bavdhan,shapoorji paloonji,vanaha,shapoorji paloonji comunity located in the suburbs of bavadhan locality is situated in a pleasant environment around. this 1bhk property comes with a swimming pool and parking facilty in the community. it also comes with temples and churches near by for devotional purposes,1,1,1,1,1,1,1,492.0,39.0,shapoorji paloonji comunity located suburbs bavadhan locality situated pleasant environment around 1bhk property comes swimming pool parking facilty community also comes temples churches near devotional purposes,13,7,2,58.044000000000004,7,72.66666666666667
pune,maharashtra,india,2.0,bavdhan,shapoorji paloonji,vanaha,vanaha township located near the lonavala hill range. offers a very greenery filled environment and a friendly community. comes with a 2bhk well furnished home at affordable price,1,1,1,1,1,1,1,774.0,65.0,vanaha township located near lonavala hill range offers greenery filled environment friendly community comes 2bhk well furnished home affordable price,10,5,2,58.044000000000004,7,72.66666666666667
pune,maharashtra,india,3.0,bavdhan,shapoorji paloonji,vanaha,"vanaha society is suitable for all aged group people with a playareafor kids, woodland for the teen's and a park for elderly person's to find the serenity. this community also offers clubhouse and gym facilities.",1,1,1,1,1,1,1,889.0,74.0,vanaha society suitable aged group people playareafor kids woodland teens park elderly persons find serenity community also offers clubhouse gym facilities,12,6,2,58.044000000000004,7,72.66666666666667
pune,maharashtra,india,3.0,bavdhan,shapoorji paloonji,vanaha,"vanaha township are offering 3bhk grand prpoerties at bavdhan area, pune. the newly launched project has podium level amenities that speak the language of great design and functionality.",1,1,1,1,1,1,1,1018.0,89.0,vanaha township offering 3bhk grand prpoerties bavdhan area pune newly launched project podium level amenities speak language great design functionality,12,4,2,58.044000000000004,7,72.66666666666667
pune,maharashtra,india,2.0,mahalunge,godrej properties,godrej hills retreat,"the area is a hub of prestigious schools like bishop’s high school, vibgyor intl. school, boston world school. it also offers quick access to important highways such as pune-bengaluru, pune-solapur & pune-mumbai expressway.",1,1,1,1,1,1,1,743.0,74.0,area hub prestigious schools like bishops high school vibgyor intl school boston world school also offers quick access important highways punebengaluru punesolapur punemumbai expressway,14,2,6,73.55555555555556,7,72.66666666666667
pune,maharashtra,india,3.0,mahalunge,godrej properties,godrej hills retreat,"strategically located in mahalunge, pune's quaint, nature-loving and yet, well-connected suburb, godrej hills retreat welcomes you to experience the height of high living.",1,1,1,1,1,1,1,975.0,95.0,strategically located mahalunge punes quaint natureloving yet wellconnected suburb godrej hills retreat welcomes experience height high living,7,4,2,73.55555555555556,7,72.66666666666667
pune,maharashtra,india,2.0,balewadi,anp corp,anp universe,"the project boasts 6 elegant towers of 11 & 12 stories, offering 2 & 3 bedroom apartment in balewadi,pune with the quality specification and great community living in form of amenities like a well-equipped clubhouse and landscape garden.",1,0,0,0,1,1,1,894.5,75.0,project boasts elegant towers stories offering bedroom apartment balewadi pune quality specification great community living form amenities like wellequipped clubhouse landscape garden,13,5,3,83.75,4,98.58288659793813
pune,maharashtra,india,3.0,balewadi,anp corp,anp universe,"the project boasts 6 elegant towers of 11 & 12 stories, offering 2 and 3 bedroom apartment in balewadi,pune with the quality specification and great community living in form of amenities like swimming pools, club house and gym.",1,0,0,0,1,1,1,1174.5,100.0,project boasts elegant towers stories offering bedroom apartment balewadi pune quality specification great community living form amenities like swimming pools club house gym,14,5,3,83.75,4,98.58288659793813
pune,maharashtra,india,2.0,ravet,urban space creator,urban skyline,"urban space creator project has 2 &3 bhk flats in ravet, pune. it is a new residential construction in pune. the project is nestled amongst reputed eon & ravet it parks, world-class amanora & seasons malls. the project offers flats for sale in ravet.",1,0,0,0,1,1,1,905.0,65.0,urban space creator project bhk flats ravet pune new residential construction pune project nestled amongst reputed eon ravet parks worldclass amanora seasons malls project offers flats sale ravet,17,5,5,86.58333333333333,4,98.58288659793813
pune,maharashtra,india,3.0,ravet,urban space creator,urban skyline,"one of the top residential hubs in pune, it is well-connected to other parts of pune such as pimpri and talegaon. areas like aundh, wakad ,saudagar etc. are also easily accessible from the region.",1,0,0,0,1,1,1,1125.0,88.0,one top residential hubs pune wellconnected parts pune pimpri talegaon areas like aundh wakad saudagar etc also easily accessible region,10,2,4,86.58333333333333,4,98.58288659793813
